"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈŞ¹«ÀÏ","±³ÅëÁ¤º¸"
"42069","en","Namsan Yejang Park","https://english.visitseoul.net/nature/NamsanYejangPark/ENP042009?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP042009"," 4-1 Yejang-dong, Jung-gu, Seoul ","04628 36, Toegye-ro 26-gil, Jung-gu, Seoul ","","","","","","Subway Line 4  Myeong-dong Station  Exit 1,  211m "
"23769","ja","«««ó«½(Ë°à¤)?ò¢ßæ÷¾Íëê®","https://japanese.visitseoul.net/nature/gangseo-wetland-eco-park-jp/JPP001411?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP001411"," «½«¦«ëã¼Ë°à¤?Û¨ü£Ô× 47","07518 «½«¦«ëã¼«««ó«½(Ë°à¤)?«ä«ó«Á«ç«ó«í27«®«ë279-23 (Û¨ü£Ô×)","+82-2-3780-0621","https://hangang.seoul.go.kr/www/contents/675.do?mid=482","?Ê¥ìÑ?¡¢ãé?Û°Ûö¡¢òäú¼«×«í«°«é«àªÊªÉªÎßÙá¬ï×ÜÃªÏ¡¢«½«¦«ëã¼ÍëÍì«µ?«Ó«¹åøå³«µ«¤«Èªòª´ü¬ìãª¯ªÀªµª¤¡£","","","ò¢ù»?5?àÊ¡¸«Ñ«ó«Õ«¡¡¹?1ÛãõóÏ¢,  2km"
"24003","en","Hongjecheon Stream","https://english.visitseoul.net/nature/Hongjecheon-Stream/ENP002287?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP002287","120-090 Hongjae-dong, Jongno-gu, Seoul "," Hongjae-dong, Jongno-gu, Seoul ","+82-2-330-1405","","Musical Fountain (runs from April-October) * Apr, May, Sept, Oct: 09:00 - 9:00 * June, July, Aug: 08:00 - 20:00  Artificial Waterfall (runs from April - October) * Daily 12:00 - 18:00","","","Subway Line 6, Mapo-gu Office Station, Exit 7,  633m "
"39738","en","Hyochang Park","https://english.visitseoul.net/nature/Hyochang-Park/ENP039707?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP039707"," 255, Hyochang-dong, Yongsan-gu, Seoul ","04311 177-18, Hyochangwon-ro, Yongsan-gu, Seoul  (Hyochang Park)","","","","Daily","","Subway Gyeongui Jungang Line/ Line 6  Hyochang Park Station  Exit 1,  717m"
"29838","ja","«Á«ó«°«¡«ó«µ(òĞÎ°ŞÑ)?ÍÛ","https://japanese.visitseoul.net/nature/Jingwansa-valley-jp/JPP029800?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP029800","122-200 «½«¦«ëã¼ëÚøÁ?òĞ?Ô×354 ","03308 «½«¦«ëã¼«¦«ó«Ô«ç«ó(ëÚøÁ)?«Á«ó«°«¡«ó«®«ë73 (òĞ?Ô×)","","","","","","ò¢ù»?3?àÊ¡¸«¯«Ñ«Ğ«ë¡¹?2ÛãõóÏ¢,  7211Ûã«Ğ«¹ªË?ó³ı­ªÏªÊª´¡¢ß²ô¸ŞÅ¡¢??ŞÑìıÏ¢¡¢1.4km"
"35628","en","Metasequoia Forest Park","https://english.visitseoul.net/nature/MetasequoiaForestPark/ENP035621?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP035621"," 481-72, Sangam-dong, Mapo-gu, Seoul ","03900 95, Haneulgongwon-ro, Mapo-gu, Seoul ","","","Open year round","","","Subway Line 6  Mapo-gu Office Station  Exit 8,  2.2km"
"48908","zh-CN","Ñõß£ÜÆÔ³","https://chinese.visitseoul.net/nature/Namsan-Trails/CNP9jn7zj?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP9jn7zj"," âÏ?ã¼?ß£?Ñõß£Íë?ÖØ126£¨Ñõß£Íë?íª?ñéãı£© ","04340 âÏ?ã¼?ß£?Ñõß£Íë?ÖØ126£¨Ñõß£Íë?íª?ñéãı£© ","âÏ?ÜÆÔ³íª?ñéãı02-779-7902~4","https://gil.seoul.go.kr/index.do","","","","ò¢?4????ó×4?õóÏ¢£¬2.6km"
"28370","en","Sajik Park","https://english.visitseoul.net/nature/Sajik-Park/ENP028280?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP028280","110-054 1-28, Sajik-dong, Jongno-gu, Seoul ","03027 5, Sajik-ro 9-gil, Jongno-gu, Seoul ","+82-2-2148-2835","http://english.seoul.go.kr/service/amusement/parks/?pidx=4","","","Open year round","Subway Line 3  Gyeongbokgung Station  Exit 1,  337m "
"46438","en","Bamseom Island","https://english.visitseoul.net/nature/2024-BamseomIsland/ENP0l726f?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP0l726f"," 74-1 Sinjeong-dong, Mapo-gu, Seoul ","04092 Bamseon Park, 76-1 Sinjeong-dong, Mapo-gu, Seoul ","+82-2-3780-0793","","Daily 09:00-17:00","","Closed on Christmas, New Year's Day, and Lunar New Year","View from Bamseom Park: Subway Line 6, Gwangheungchang Station, Exit 4,  722m View from Yeouido Hangang Park: Subway Line 5, Yeouinaru Station, Exit 2,  700m"
"32858","en","Gaehwasan Mountain","https://english.visitseoul.net/nature/GaehwasanMountain/ENP032823?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP032823","157-220 846, Banghwa-dong, Gangseo-gu, Seoul ","07601 22, Yangcheon-ro, Gangseo-gu, Seoul ","+82-2-2600-4183","","","","","Subway Line 5  Gaehwasan Station  Exit 2,  186m"
"51196","en","Namsan Sky Forest Trail","https://english.visitseoul.net/nature/NamsanSkyForestRoad/ENP5nlj26?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP5nlj26"," Sowol Garden next to Namsan Library, 109 Sowol Road, Yongsan-gu, Seoul ","04340 Sowol Garden next to Namsan Library, 109 Sowol Road, Yongsan-gu, Seoul ","+82-2-3783-5995","https://gil.seoul.go.kr/index.do","","","","Subway Line 4, Hoehyeon Station, Exit 4, 1.1 kilometers Subway Line 1 and Line 4 and Airport Railroad and Gyeongui Jungang Line, Seoul Station, Exit 10, 1.2 kilometers "
"35077","en","Nanjicheon Park","https://english.visitseoul.net/nature/Nanjicheon-Park/ENP035072?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP035072"," 1538, Sangam-dong, Mapo-gu, Seoul ","03900 365, World Cup-ro, Mapo-gu, Seoul ","","","","","","Subway Line 6  World Cup Stadium Station  Exit 4,  696m"
"16407","en","Night Views at Maebongsan Mountain","https://english.visitseoul.net/nature/Night-Views--Maebongsan-Mountain/ENP016326?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP016326"," 5-164, mountain, Oksu-dong, Seongdong-gu, Seoul, Korea ","04731 Maebongsan Park, San 51, Sindang-dong, Jung-gu, Seoul ","","","","","","Subway Line 6, Beotigogae Station, Exit 3,  581m"
"37002","ja","«½«Á«ç(ßúõ®)ÙşûùéıâúÍëê®","https://japanese.visitseoul.net/nature/«½«Á«çßúõ®ÙşûùéıâúÍëê®/JPP036989?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP036989"," «½«¦«ëã¼ßúõ®?ÕŞî¦Ô×200 ","06769 «½«¦«ëã¼«½«Á«ç(ßúõ®)?«Ñ«¦«à«§«í12«®«ë40(«ä«ó«¸«§(åĞî¦)Ô×¡¢«½«Á«ç(ßúõ®)ÙşûùéıâúÍëê®) ","+82-2-2155-8601","https://www.seocho.go.kr/site/seocho/04/10405010200002015070703.jsp","","","","ò¢ù»?«·«ó«Ö«ó«À«ó(ãæİÎÓĞ)àÊ¡¸«ä«ó«¸«§«·«ß«Í«¹«×?(«á«Û«ó)¡¹?5ÛãõóÏ¢,  681m "
"39771","ja","«Á«å«ó«¿«ó«¸(õğÓÒò®)","https://japanese.visitseoul.net/nature/«Á«å«ó«¿«ó«¸õğÓÒò®/JPP039629?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP039629"," «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«ï«ê«ç«ó(èÂ×£)Ô× 2-1 ","03072 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«Á«ã«ó«®«ç«ó«°«ó«í185 («ï«ê«ç«ó(èÂ×£)Ô×¡¢«Á«ã«ó«É«Ã«°«ó(óã?Ïà)) ","+82-2-762-4868","https://royal.khs.go.kr/JPN/contents/J103010000.do","9:00¡©20:00 («Á«±«Ã«ÈĞàªÓìıíŞãÁÊà) 9:00-21:00 (??ãÁÊà)","ûıèøìí~ìíèøìí","?ñÎêÅèøìí (ıÌìíª¬õæìíªÎíŞùê¡¢ìÎìíıÌåö)","ò¢ù»?4?àÊ¡¸«Ø«Õ«¡(?ûù)¡¹?4ÛãõóÏ¢,  994m"
"46440","ja","«Ñ«à«½«à(×ÊÓö)","https://japanese.visitseoul.net/nature/2024-BamseomIsland/JPP0l726f?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP0l726f"," «½«¦«ëØ«øİ?ãæïáÔ×74-1   ","04092 «½«¦«ëã¼«Ş«İ(Ø«øİ)?«·«ó«¸«ç«ó«É«ó(ãæïÌÔ×)76-1 «Ñ«à«½«à(×ÊÓö)Íëê® ","+82-2-3780-0793","","?ìí09:00-17:00 ","","«¯«ê«¹«Ş«¹¡¢ïáêÅ¡¢?ïáêÅ","«Ñ«à«½«à(×ÊÓö)Íëê®ª«ªéªÎğÒØĞ: ò¢ù»?6?àÊ¡¸«¯«¡«ó«Õ«ó«Á«ã«ó(«½«¬«ó)¡¹?4ÛãõóÏ¢,  722m «è«¤«É¡¤«Ï«ó«¬«ó(æ£ëøÓö¡¤ùÓË°)Íëê®ª«ªéªÎğÒØĞ: ò¢ù»?5?àÊ¡¸«è«¤«Ê«ë¡¹?2ÛãõóÏ¢,  700m"
"46441","zh-CN","×Ê?","https://chinese.visitseoul.net/nature/2024-BamseomIsland/CNP0l726f?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP0l726f"," âÏ?ã¼Ø«øİ?ãæïÌÔ×74-1? ","04092 âÏ?÷å?ã¼Ø«øİ?ãæïÍÔ× 76-1 ×Ê?Íë? ","+82-2-3780-0793","","Øßô¸ 09:00 - 17:00 ","","???¡¢ãæÒ´¡¢êªÓ©úÎ?","?×Ê?Íë????: ò¢?6?? ???ó× 4?õóÏ¢,  722m  ?æ£ëø??Ë°Íë????: ò¢?5?? æ£ëøÔ¤Ï¢ó× 2?õóÏ¢,  700m"
"46442","zh-TW","×ÊÓö","https://tchinese.visitseoul.net/nature/2024-BamseomIsland/TCP0l726f?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP0l726f"," âÏì³ã¼Ø«øİÏ¡ãæïÌÔ×74-1ûÜ ","04092 âÏì³÷åÜ¬ã¼Ø«øİÏ¡ãæïÍÔ× 76-1 ×ÊÓöÍëê® ","+82-2-3780-0793","","Øßô¸ 09:00 - 17:00 ","","á¡÷«ï½¡¢ãæÒ´¡¢êªÓ©úÎåö","ğô×ÊÓöÍëê®ÎºßÛãÁ: ò¢ôÑ6ûÜàÊ ÎÆıéóÚó× 4ûÜõóÏ¢,  722m  ğôæ£ëøÓöùÓË°Íëê®ÎºßÛãÁ: ò¢ôÑ5ûÜàÊ æ£ëøÔ¤Ï¢ó× 2ûÜõóÏ¢,  700m"
"12311","en","Hyundai Wonseo Park","https://english.visitseoul.net/nature/Hyundai-Wonseo-Park/ENP012311?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP012311"," 181, Wonseo-dong, Jongno-gu, Seoul ","03058 19, Changdeokgung-gil, Jongno-gu, Seoul ","","","","","","Subway Line 3  Anguk Station  Exit 3,  362m"
"47457","ko","¼­¿ï µµ½É µî»ê°ü±¤¼¾ÅÍ(ºÏ¾Ç»ê)","https://korean.visitseoul.net/nature/2024-SHTCbukaksan/KOPt16elj?utm_source=seoulopendata&utm_medium=nature&utm_content=KOPt16elj"," ¼­¿ï Á¾·Î±¸ »ïÃ»µ¿ 63-13 ","03053 ¼­¿ï Á¾·Î±¸ »ïÃ»·Î 88 (»ïÃ»µ¿) 1Ãş ","1533-2158","https://www.seoulhiking.or.kr","09:00 - 18:00","¼ö¿äÀÏ ~ ¿ù¿äÀÏ","È­¿äÀÏ","ÁöÇÏÃ¶ 3È£¼± ¾È±¹¿ª 2¹ø Ãâ±¸,  961m"
"47458","en","Seoul Hiking Tourism Center (Bugaksan Mountain)","https://english.visitseoul.net/nature/2024-SHTCbukaksan/ENPt16elj?utm_source=seoulopendata&utm_medium=nature&utm_content=ENPt16elj"," 63-13 Samcheong-dong, Jongno-gu, Seoul ","03053 1F, 88 Samcheong-ro, Jongno-gu, Seoul ","1533-2158","https://www.seoulhiking.or.kr","09:00 - 18:00","Wed-Mon","Tuesdays","Subway Line 3  Anguk Station  Exit 2,  961m"
"16408","en","Seonyudo at Night","https://english.visitseoul.net/nature/Seonyudo-at-Night/ENP016327?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP016327","150-040 Dangsan-dong 1, Yeongdeungpo-gu, Seoul ","07200 343 Seonyu-ro (Seonyudo Park), Yeongdeungpo-gu, Seoul ","+82-2-2631-9368","http://parks.seoul.go.kr/template/sub/seonyudo.do","06:00 - 24:00","Daily","","Subway  Line 9  Seonyudo Station  Exit 3,  782 m"
"30179","ja","«½«½«à«ó(à¤á³Ú¦)?ŞÈÍëê®","https://japanese.visitseoul.net/nature/seosomun-historical-park-jp/JPP029945?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP029945","100-142 «½«¦«ëã¼ñé?ëùñ¶ÖØ2Ê¶16-72 ","04510 «½«¦«ëã¼«Á«å«¦(ñé)?«Á«ë«Ú«í5(à¤á³Ú¦?ŞÈÍëê®) ","+82-2-3147-2401","https://www.seosomun.org/retrieveContents.do?mCode=111","9:30¡©17:30","ûıèøìí~ìíèøìí","êÅèøìí","ò¢ù»?2?àÊ¡¸«Á«å«ó«¸«ç«ó«í¡¹?4ÛãõóÏ¢,  477m"
"29460","ja","«½«ë«Ğ«ÃĞÎ×öÍëê®","https://japanese.visitseoul.net/nature/solbat-neighborhood-park-jp/JPP029458?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP029458","142-892 «½«¦«ëã¼Ë°İÁ?éÚì¼Ô×80 ","01007 «½«¦«ëã¼«««ó«Ö«¯(Ë°İÁ)?«µ«ß«ã«ó«í561 (éÚì¼Ô×)«½«ë«Ğ«ÃĞÎ×öÍëê®Î·×âãø","+82-2-901-6939","","","","","ò¢ù»? «¦«¤«·«ó«½«ëàÊ¡¸4.19«ß«ó«¸«å«ß«ç«¸¡¹?2ÛãõóÏ¢,  278m"
"37611","ja","«Á«ä«ó«µ«ó(ò¹åÕß£)","https://japanese.visitseoul.net/nature/«Á«ä«ó«µ«óò¹åÕß£/JPP037532?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP037532"," «½«¦«ëã¼«ä«ó«Á«ç«ó(åÕô¹)?«·«Ì«©«ë«É«ó(ãæêÅÔ×) ","08037 «½«¦«ëã¼«ä«ó«Á«ç«ó(åÕô¹)?«·«Ì«©«ë«É«ó(ãæêÅÔ×) ","","","","","","ò¢ù»?2?àÊ¡¸«·«ó«¸«ç«ó«Í«´«ê¡¹?ª«ªé98Ûã«Ğ«¹ªË?ó³ª·¡¢¡¸«·«ó«¾«ó«¤«Ú«ó«Ï«¦«¹1?ò¢«¢«Ñ?«È¡¹ïÎ×ºá¶,  332m"
"43286","ja","«Á«å«ó«Ê«ó«Á«ç«ó(ñéÕÈô¹)ªÎğ§ÛÁ","https://japanese.visitseoul.net/nature/«Á«å«ó«Ê«ó«Á«ç«óªÎ/JPP001981?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP001981","01770 «½«¦«ëã¼«Á«å«ó«Ê«ó(ñéÕÈ)?«ß«ç«ó«â«¯«É«ó(ØüÙÌÔ×)ìé? ","01770 «½«¦«ëã¼«Á«å«ó«Ê«ó(ñéÕÈ)?«ß«ç«ó«â«¯«É«ó(ØüÙÌÔ×)ìé? ","+82-2-938-9520","https://www.jrecocenter.or.kr/","","","","ò¢ù»?7?àÊ¡¸«Á«å«ó«Õ«¡¡¹?3ÛãõóÏ¢,  685m ò¢ù»?1?àÊ¡¸«·«Ë«à«ó¡¹?3ÛãõóÏ¢,  523m ò¢ù»?1?àÊ¡¸«¦«§«Ç«¢«×¡¹?2ÛãõóÏ¢,  697m"
"47459","ja","«½«¦«ëÔ´ãıÔôß£?ÎÃ«»«ó«¿? «×«¬«¯«µ«ó(İÁä¿ß£)","https://japanese.visitseoul.net/nature/2024-SHTCbukaksan/JPPt16elj?utm_source=seoulopendata&utm_medium=nature&utm_content=JPPt16elj"," «½«¦«ëñ£ÖØ?ß²?Ô×63-13 ","03053 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«µ«à«Á«ç«ó«í88¡¢1Í­ ","1533-2158","https://www.seoulhiking.or.kr","09:00 - 18:00","â©èøìí?êÅèøìí","ûıèøìí","ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹?2ÛãõóÏ¢,  961m"
"16374","ja","«½«Ë«å«É(à¹ë´Óö)å¨ÌØ","https://japanese.visitseoul.net/nature/Seonyudo-at-Night-JP/JPP016327?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP016327","150-040 «½«¦«ëã¼çµÔôøİ?ÓÑß£Ô× 1«½«Ë«å«É(à¹ë´Óö)Íëê®","07200 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«½«Ë«å«í343 (ÓÑß£Ô×)«½«Ë«å«É(à¹ë´Óö)Íëê®","+82-2-2631-9368","http://parks.seoul.go.kr/template/sub/seonyudo.do","06:00-24:00","êÅèøìí~ìíèøìí","","ò¢ù»?9?àÊ¡¸«½«Ë«å«É¡¹? 2ÛãõóÏ¢,  782m"
"27718","en","Seoraeseom Island","https://english.visitseoul.net/nature/Seoraeseom-Island/ENP027688?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP027688","137-040 115-5, Banpo-dong, Seocho-gu, Seoul ","06500 40, Sinbanpo-ro 11-gil, Seocho-gu, Seoul ","+82-2-3780-0541","","","","","Subway Line 9  Sinbanpo Station  Exit 1,  1.1 km"
"36974","en","Seosulla-gil","https://english.visitseoul.net/nature/Seosullagil/ENP036973?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP036973"," 1-1, Bongik-dong, Jongno-gu, Seoul, Korea ","03134 75, Seosulla-gil, Jongno-gu, Seoul, Korea (ºÀÀÍµ¿) ","","","","","","Subway Lines 1/3/5  Jongno 3(sam)-ga Station  Exit 7,  250m"
"29471","en","Solbat Neighborhood Park","https://english.visitseoul.net/nature/Solbat-Neighborhood-Park/ENP029458?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP029458","142-892 80 Ui-dong, Gangbuk-gu, Seoul ","01007 561 Samyang-ro, Gangbuk-gu, Seoul ","+82-2-901-6939","","","","","Subway Ui-Sinseol Line  April 19th National Cemetery Station  Exit 2,  278m"
"23690","ja","«¦«¸«ã«ó(éë¡)Íëê®","https://japanese.visitseoul.net/nature/ujangsan-park/JPP001562?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP001562","157-701 «½«¦«ëã¼Ë°à¤???ß£Ô×ß£4-5 ","07647 «½«¦«ëã¼«««ó«½(Ë°à¤)?ÍöùûÓŞÖØ42«®«ë51-22 ","+82-2-2600-4185","","24ãÁÊà","","","ò¢ù»?5?àÊ¡¸«Ñ«ë«µ«ó¡¹?5ÛãõóÏ¢,  1.1km"
"2156","ja","«á«Û«ó(ØŞúÍ)ã¼ÚÅªÎßµ","https://japanese.visitseoul.net/nature/yangjae-citizens-forest-jp/JPP002156?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP002156","137-130 «½«¦«ëã¼ßúõ®?ÕŞî¦Ô× 236","137-130 «½«¦«ëã¼«½«Á«ç(ßúõ®)?«á«Û«ó«í99(ÕŞî¦Ô×) ","+82-2-575-3895","http://parks.seoul.go.kr/template/sub/citizen.do"," 0:00-24:00 ","","","ò¢ù»?«·«ó«Ö«ó«À«óàÊ¡¸«ä«ó«¸«§«·«ß«Í«¹«×?(«á«Û«ó)¡¹?5ÛãõóÏ¢,  494m"
"47460","zh-CN","âÏ?ã¼?Ôôß£?ÎÃñéãı(İÁä¿ß£)","https://chinese.visitseoul.net/nature/2024-SHTCbukaksan/CNPt16elj?utm_source=seoulopendata&utm_medium=nature&utm_content=CNPt16elj"," âÏ?ã¼?ÖØ?ß²?Ô×63-13? ","03053 âÏ??ÖØ?ß²?ÖØ 88£¬1? ","1533-2158","https://www.seoulhiking.or.kr","09:00 - 18:00","ñ²ß²ò¸ñ²ìé","ñ²ì£","ò¢?3?? äÌ?ó× 2?õóÏ¢£¬961m"
"47462","ko","¼­¿ï µµ½É µî»ê°ü±¤¼¾ÅÍ(ºÏÇÑ»ê)","https://korean.visitseoul.net/nature/2024-SHTCbukhansan/KOPmt730g?utm_source=seoulopendata&utm_medium=nature&utm_content=KOPmt730g"," ¼­¿ï °­ºÏ±¸ ¿ìÀÌµ¿ 181-7 ","01002 ¼­¿ï °­ºÏ±¸ »ï¾ç·Î173±æ 52 (¿ìÀÌµ¿, ±¤¸²ºôµù) ±¤¸²ºôµù 5Ãş ","1533-2608","https://www.seoulhiking.or.kr","09:00 - 18:00 ","È­¿äÀÏ ~ ÀÏ¿äÀÏ","¿ù¿äÀÏ","ÁöÇÏÃ¶ ¿ìÀÌ½Å¼³¼± ºÏÇÑ»ê ¿ìÀÌ¿ª 2¹ø Ãâ±¸,  300m"
"47463","en","Seoul Hiking Tourism Center (Bukhansan Mountain)","https://english.visitseoul.net/nature/2024-SHTCbukhansan/ENPmt730g?utm_source=seoulopendata&utm_medium=nature&utm_content=ENPmt730g"," 181-7 Ui-dong, Gangbuk-gu, Seoul ","01002 Gwangnim Bldg, 5F, 52 Samyang-ro 173-gil, Gangbuk-gu, Seoul ","1533-2608","https://www.seoulhiking.or.kr","09:00 - 18:00 ","Tue-Sun","Mondays","Subway Ui-Sinseol Line, Bukhansan Ui Station, Exit 2,  300m"
